epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_device_id__d004,test_acc_device_id__d005,test_acc_device_id__d006,test_acc_device_id__d008,test_acc_device_id__d009,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_device_id__d004,test_acc_lng_device_id__d005,test_acc_lng_device_id__d006,test_acc_lng_device_id__d008,test_acc_lng_device_id__d009,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_device_id__d004,test_n_device_id__d005,test_n_device_id__d006,test_n_device_id__d008,test_n_device_id__d009,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_device_id__d004,train_acc_device_id__d005,train_acc_device_id__d006,train_acc_device_id__d007,train_acc_device_id__d008,train_acc_device_id__d009,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_device_id__d004,train_acc_lng_device_id__d005,train_acc_lng_device_id__d006,train_acc_lng_device_id__d007,train_acc_lng_device_id__d008,train_acc_lng_device_id__d009,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_device_id__d004,train_n_device_id__d005,train_n_device_id__d006,train_n_device_id__d007,train_n_device_id__d008,train_n_device_id__d009,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.019455252918287938,0.01832460732984293,0.01832460732984293,0.01832460732984293,0.02247191011235955,0.017241379310344827,0.02,0.05,0.025,0.0,0.0,0.052083333333333336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.027960526315789474,0.013918629550321198,0.02530120481927711,0.01618705035971223,0.0,0.03171247357293869,0.0,4.241278412122516,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.022149302707136997,0.02465166130760986,0.02465166130760986,0.02465166130760986,0.013927576601671309,0.016736401673640166,0.008333333333333333,0.025,0.0,0.0125,0.0,0.0,0.053219448094612355,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01954120645709431,0.02338709677419355,0.017948717948717947,0.021121039805036556,0.04201680672268908,0.032655246252676656,0.011179429849077696,4.235189019052716,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
2,0.019455252918287938,0.01832460732984293,0.01832460732984293,0.01832460732984293,0.02247191011235955,0.017241379310344827,0.02,0.05,0.025,0.0,0.0,0.052083333333333336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.027960526315789474,0.013918629550321198,0.02530120481927711,0.01618705035971223,0.0,0.03171247357293869,0.0,4.105856926370069,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.022149302707136997,0.02465166130760986,0.02465166130760986,0.02465166130760986,0.013927576601671309,0.016736401673640166,0.008333333333333333,0.025,0.0,0.0125,0.0,0.0,0.053219448094612355,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01954120645709431,0.02338709677419355,0.017948717948717947,0.021121039805036556,0.04201680672268908,0.032655246252676656,0.011179429849077696,4.080529554834905,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
3,0.019455252918287938,0.01832460732984293,0.01832460732984293,0.01832460732984293,0.02247191011235955,0.017241379310344827,0.02,0.05,0.025,0.0,0.0,0.052083333333333336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.027960526315789474,0.013918629550321198,0.02530120481927711,0.01618705035971223,0.0,0.03171247357293869,0.0,4.102942963982371,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.022149302707136997,0.02465166130760986,0.02465166130760986,0.02465166130760986,0.013927576601671309,0.016736401673640166,0.008333333333333333,0.025,0.0,0.0125,0.0,0.0,0.053219448094612355,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01954120645709431,0.02338709677419355,0.017948717948717947,0.021121039805036556,0.04201680672268908,0.032655246252676656,0.011179429849077696,4.090639593694456,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
4,0.019455252918287938,0.01832460732984293,0.01832460732984293,0.01832460732984293,0.02247191011235955,0.017241379310344827,0.02,0.05,0.025,0.0,0.0,0.052083333333333336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.027960526315789474,0.013918629550321198,0.02530120481927711,0.01618705035971223,0.0,0.03171247357293869,0.0,4.091026120612593,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.02269619907027618,0.02465166130760986,0.02465166130760986,0.02679528403001072,0.013927576601671309,0.016736401673640166,0.008333333333333333,0.025,0.0,0.0125,0.0,0.0,0.054533508541392904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.020390824129141887,0.02379032258064516,0.018461538461538463,0.021933387489845652,0.04201680672268908,0.03372591006423983,0.011179429849077696,4.0806154496753875,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
5,0.019455252918287938,0.01832460732984293,0.01832460732984293,0.01832460732984293,0.02247191011235955,0.017241379310344827,0.02,0.05,0.025,0.0,0.0,0.052083333333333336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.027960526315789474,0.013918629550321198,0.02530120481927711,0.01618705035971223,0.0,0.03171247357293869,0.0,4.083118139383239,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.022149302707136997,0.02465166130760986,0.02465166130760986,0.02465166130760986,0.013927576601671309,0.016736401673640166,0.008333333333333333,0.025,0.0,0.0125,0.0,0.0,0.053219448094612355,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01954120645709431,0.02338709677419355,0.017948717948717947,0.021121039805036556,0.04201680672268908,0.032655246252676656,0.011179429849077696,4.070332194143936,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
6,0.03437094682230869,0.034031413612565446,0.031413612565445025,0.031413612565445025,0.033707865168539325,0.034482758620689655,0.04,0.1,0.05,0.0,0.0,0.0920138888888889,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05098684210526316,0.023554603854389723,0.04457831325301205,0.02877697841726619,0.0,0.056025369978858354,0.0,4.083515292166426,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.036642056330325405,0.04287245444801715,0.03965702036441586,0.04180064308681672,0.019498607242339833,0.02510460251046025,0.016666666666666666,0.025,0.0,0.025,0.0,0.0,0.08804204993429698,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.033984706881903144,0.03790322580645161,0.02717948717948718,0.039805036555645816,0.06722689075630252,0.05460385438972163,0.017887087758524316,4.0691313186824924,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
7,0.035667963683527884,0.034031413612565446,0.03664921465968586,0.03664921465968586,0.03932584269662921,0.034482758620689655,0.02,0.05,0.05,0.0,0.0,0.0954861111111111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.049342105263157895,0.02676659528907923,0.04578313253012048,0.030575539568345324,0.0,0.05813953488372093,0.0,4.082820059878972,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.0404703308722997,0.04287245444801715,0.04608788853161844,0.04608788853161844,0.025069637883008356,0.03347280334728033,0.008333333333333333,0.05,0.0,0.025,0.0,0.0,0.09724047306176084,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.033984706881903144,0.043548387096774194,0.03282051282051282,0.03736799350121852,0.07983193277310924,0.058886509635974305,0.021240916713247623,4.067622463527781,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
8,0.019455252918287938,0.01832460732984293,0.01832460732984293,0.01832460732984293,0.02247191011235955,0.017241379310344827,0.02,0.05,0.025,0.0,0.0,0.052083333333333336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.027960526315789474,0.013918629550321198,0.02530120481927711,0.01618705035971223,0.0,0.03171247357293869,0.0,4.072932530315315,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.02242275088870659,0.02465166130760986,0.02572347266881029,0.02465166130760986,0.013927576601671309,0.016736401673640166,0.008333333333333333,0.025,0.0,0.0125,0.0,0.0,0.05387647831800263,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01954120645709431,0.02379032258064516,0.017948717948717947,0.021121039805036556,0.04411764705882353,0.032655246252676656,0.011738401341531582,4.057297207730893,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
9,0.019455252918287938,0.01832460732984293,0.01832460732984293,0.01832460732984293,0.02247191011235955,0.017241379310344827,0.02,0.05,0.025,0.0,0.0,0.052083333333333336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.027960526315789474,0.013918629550321198,0.02530120481927711,0.01618705035971223,0.0,0.03171247357293869,0.0,4.053675234704321,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.022969647251845776,0.02572347266881029,0.02572347266881029,0.02572347266881029,0.013927576601671309,0.016736401673640166,0.008333333333333333,0.025,0.0,0.0125,0.0,0.0,0.05519053876478318,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01954120645709431,0.024596774193548387,0.017948717948717947,0.021121039805036556,0.04831932773109244,0.032655246252676656,0.012856344326439352,4.038066502050327,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
10,0.035667963683527884,0.031413612565445025,0.03664921465968586,0.034031413612565446,0.03932584269662921,0.05172413793103448,0.02,0.05,0.075,0.0,0.0,0.0954861111111111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.046052631578947366,0.028907922912205567,0.04939759036144578,0.025179856115107913,0.0,0.05813953488372093,0.0,3.9885158266693392,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.04074377905386929,0.04715969989281887,0.04608788853161844,0.04287245444801715,0.025069637883008356,0.03765690376569038,0.008333333333333333,0.05,0.0,0.0125,0.0,0.0,0.09789750328515112,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03228547153780799,0.044758064516129036,0.030256410256410255,0.04305442729488221,0.07773109243697479,0.059957173447537475,0.02068194522079374,3.9729609000477466,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
