epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_device_id__d004,test_acc_device_id__d005,test_acc_device_id__d006,test_acc_device_id__d008,test_acc_device_id__d009,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_device_id__d004,test_acc_lng_device_id__d005,test_acc_lng_device_id__d006,test_acc_lng_device_id__d008,test_acc_lng_device_id__d009,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_device_id__d004,test_n_device_id__d005,test_n_device_id__d006,test_n_device_id__d008,test_n_device_id__d009,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_device_id__d004,train_acc_device_id__d005,train_acc_device_id__d006,train_acc_device_id__d007,train_acc_device_id__d008,train_acc_device_id__d009,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_device_id__d004,train_acc_lng_device_id__d005,train_acc_lng_device_id__d006,train_acc_lng_device_id__d007,train_acc_lng_device_id__d008,train_acc_lng_device_id__d009,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_device_id__d004,train_n_device_id__d005,train_n_device_id__d006,train_n_device_id__d007,train_n_device_id__d008,train_n_device_id__d009,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.01282051282051282,0.01279317697228145,0.01279317697228145,0.01279317697228145,0.011764705882352941,0.015384615384615385,0.011764705882352941,0.0,0.02127659574468085,0.04006968641114982,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.013432835820895522,0.012455516014234875,0.011935208866155157,0.007194244604316547,0.029411764705882353,0.016358463726884778,0.0,4.629539532273377,1794,469,469,469,170,65,85,20,47,574,282,382,200,356,670,1124,1173,417,204,1406,388,0.014718301363252504,0.015283842794759825,0.015283842794759825,0.015283842794759825,0.011824324324324325,0.011204481792717087,0.01276595744680851,0.015384615384615385,0.022222222222222223,0.008,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0148014440433213,0.014676571842725132,0.014008620689655173,0.014461538461538461,0.01733232856066315,0.019389701207883026,0.0,4.61741863319304,8289,2290,2290,2290,592,357,235,65,45,125,3050,978,1430,1089,1742,2770,5519,3712,3250,1327,6292,1997
2,0.01282051282051282,0.01279317697228145,0.01279317697228145,0.01279317697228145,0.011764705882352941,0.015384615384615385,0.011764705882352941,0.0,0.02127659574468085,0.04006968641114982,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.013432835820895522,0.012455516014234875,0.011935208866155157,0.007194244604316547,0.029411764705882353,0.016358463726884778,0.0,4.625198415290551,1794,469,469,469,170,65,85,20,47,574,282,382,200,356,670,1124,1173,417,204,1406,388,0.014718301363252504,0.015283842794759825,0.015283842794759825,0.015283842794759825,0.011824324324324325,0.011204481792717087,0.01276595744680851,0.015384615384615385,0.022222222222222223,0.008,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0148014440433213,0.014676571842725132,0.014008620689655173,0.014461538461538461,0.01733232856066315,0.019389701207883026,0.0,4.610248677505344,8289,2290,2290,2290,592,357,235,65,45,125,3050,978,1430,1089,1742,2770,5519,3712,3250,1327,6292,1997
3,0.01282051282051282,0.01279317697228145,0.01279317697228145,0.01279317697228145,0.011764705882352941,0.015384615384615385,0.011764705882352941,0.0,0.02127659574468085,0.04006968641114982,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.013432835820895522,0.012455516014234875,0.011935208866155157,0.007194244604316547,0.029411764705882353,0.016358463726884778,0.0,4.625396626450146,1794,469,469,469,170,65,85,20,47,574,282,382,200,356,670,1124,1173,417,204,1406,388,0.014718301363252504,0.015283842794759825,0.015283842794759825,0.015283842794759825,0.011824324324324325,0.011204481792717087,0.01276595744680851,0.015384615384615385,0.022222222222222223,0.008,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0148014440433213,0.014676571842725132,0.014008620689655173,0.014461538461538461,0.01733232856066315,0.019389701207883026,0.0,4.611233534866427,8289,2290,2290,2290,592,357,235,65,45,125,3050,978,1430,1089,1742,2770,5519,3712,3250,1327,6292,1997
4,0.01282051282051282,0.01279317697228145,0.01279317697228145,0.01279317697228145,0.011764705882352941,0.015384615384615385,0.011764705882352941,0.0,0.02127659574468085,0.04006968641114982,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.013432835820895522,0.012455516014234875,0.011935208866155157,0.007194244604316547,0.029411764705882353,0.016358463726884778,0.0,4.621096880008013,1794,469,469,469,170,65,85,20,47,574,282,382,200,356,670,1124,1173,417,204,1406,388,0.01580407769332851,0.01703056768558952,0.01703056768558952,0.01572052401746725,0.011824324324324325,0.011204481792717087,0.01276595744680851,0.015384615384615385,0.022222222222222223,0.008,0.04295081967213115,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01516245487364621,0.016126109802500455,0.014816810344827586,0.014769230769230769,0.02110022607385079,0.020820089001907183,0.0,4.608560373216763,8289,2290,2290,2290,592,357,235,65,45,125,3050,978,1430,1089,1742,2770,5519,3712,3250,1327,6292,1997
5,0.010590858416945374,0.01279317697228145,0.01279317697228145,0.01279317697228145,0.0058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05337078651685393,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.008955223880597015,0.011565836298932384,0.013640238704177323,0.007194244604316547,0.0,0.013513513513513514,0.0,4.683925598893011,1794,469,469,469,170,65,85,20,47,574,282,382,200,356,670,1124,1173,417,204,1406,388,0.01158161418747738,0.010917030567685589,0.011353711790393014,0.010917030567685589,0.013513513513513514,0.014005602240896359,0.01276595744680851,0.015384615384615385,0.022222222222222223,0.016,0.0013114754098360656,0.0,0.0,0.0,0.05281285878300804,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01227436823104693,0.011233919188258742,0.011045258620689655,0.009846153846153846,0.01733232856066315,0.012078830260648443,0.010015022533800702,4.670857110462426,8289,2290,2290,2290,592,357,235,65,45,125,3050,978,1430,1089,1742,2770,5519,3712,3250,1327,6292,1997
6,0.010590858416945374,0.01279317697228145,0.01279317697228145,0.01279317697228145,0.0058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05337078651685393,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.008955223880597015,0.011565836298932384,0.013640238704177323,0.007194244604316547,0.0,0.013513513513513514,0.0,5.078415002046753,1794,469,469,469,170,65,85,20,47,574,282,382,200,356,670,1124,1173,417,204,1406,388,0.01158161418747738,0.010917030567685589,0.011353711790393014,0.010917030567685589,0.013513513513513514,0.014005602240896359,0.01276595744680851,0.015384615384615385,0.022222222222222223,0.016,0.0013114754098360656,0.0,0.0,0.0,0.05281285878300804,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01227436823104693,0.011233919188258742,0.011045258620689655,0.009846153846153846,0.01733232856066315,0.012078830260648443,0.010015022533800702,5.0257345506316256,8289,2290,2290,2290,592,357,235,65,45,125,3050,978,1430,1089,1742,2770,5519,3712,3250,1327,6292,1997
7,0.010590858416945374,0.01279317697228145,0.01279317697228145,0.01279317697228145,0.0058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05337078651685393,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.008955223880597015,0.011565836298932384,0.013640238704177323,0.007194244604316547,0.0,0.013513513513513514,0.0,5.577714084382839,1794,469,469,469,170,65,85,20,47,574,282,382,200,356,670,1124,1173,417,204,1406,388,0.011340330558571601,0.010480349344978166,0.010917030567685589,0.010917030567685589,0.013513513513513514,0.014005602240896359,0.01276595744680851,0.015384615384615385,0.022222222222222223,0.016,0.0006557377049180328,0.0,0.0,0.0,0.05281285878300804,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01227436823104693,0.010871534698314912,0.010775862068965518,0.009846153846153846,0.016578749058025623,0.011760966306420852,0.010015022533800702,5.5162210076748925,8289,2290,2290,2290,592,357,235,65,45,125,3050,978,1430,1089,1742,2770,5519,3712,3250,1327,6292,1997
8,0.013935340022296544,0.019189765458422176,0.014925373134328358,0.017057569296375266,0.0058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0702247191011236,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.010447761194029851,0.01601423487544484,0.01619778346121057,0.014388489208633094,0.0,0.017780938833570414,0.0,5.086611744552153,1794,469,469,469,170,65,85,20,47,574,282,382,200,356,670,1124,1173,417,204,1406,388,0.014718301363252504,0.014410480349344978,0.015283842794759825,0.013973799126637555,0.013513513513513514,0.022408963585434174,0.01702127659574468,0.015384615384615385,0.0,0.008,0.0013114754098360656,0.0,0.0013986013986013986,0.0,0.06659012629161883,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0148014440433213,0.014676571842725132,0.01293103448275862,0.012923076923076923,0.024114544084400905,0.014462809917355372,0.015523284927391086,4.998310771605723,8289,2290,2290,2290,592,357,235,65,45,125,3050,978,1430,1089,1742,2770,5519,3712,3250,1327,6292,1997
9,0.010590858416945374,0.01279317697228145,0.01279317697228145,0.01279317697228145,0.0058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05337078651685393,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.008955223880597015,0.011565836298932384,0.013640238704177323,0.007194244604316547,0.0,0.013513513513513514,0.0,5.257553798033375,1794,469,469,469,170,65,85,20,47,574,282,382,200,356,670,1124,1173,417,204,1406,388,0.012305465074194716,0.011353711790393014,0.01222707423580786,0.010917030567685589,0.016891891891891893,0.014005602240896359,0.01702127659574468,0.015384615384615385,0.022222222222222223,0.016,0.0019672131147540984,0.0,0.0013986013986013986,0.0,0.0539609644087256,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.013718411552346571,0.011596303678202573,0.012122844827586207,0.010461538461538461,0.01733232856066315,0.012714558169103624,0.011016524787180772,5.109727426667685,8289,2290,2290,2290,592,357,235,65,45,125,3050,978,1430,1089,1742,2770,5519,3712,3250,1327,6292,1997
10,0.015050167224080268,0.021321961620469083,0.014925373134328358,0.017057569296375266,0.011764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07584269662921349,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.010447761194029851,0.017793594306049824,0.0196078431372549,0.009592326139088728,0.0,0.019203413940256046,0.0,5.557333309381968,1794,469,469,469,170,65,85,20,47,574,282,382,200,356,670,1124,1173,417,204,1406,388,0.012426106888647604,0.011790393013100437,0.011353711790393014,0.010917030567685589,0.016891891891891893,0.014005602240896359,0.02127659574468085,0.015384615384615385,0.022222222222222223,0.024,0.0013114754098360656,0.0,0.0013986013986013986,0.0,0.05568312284730195,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01227436823104693,0.012502264903062148,0.011314655172413793,0.011076923076923076,0.018839487565938208,0.012237762237762238,0.013019529293940912,5.396215117844903,8289,2290,2290,2290,592,357,235,65,45,125,3050,978,1430,1089,1742,2770,5519,3712,3250,1327,6292,1997
