epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_device_id__d004,test_acc_device_id__d005,test_acc_device_id__d006,test_acc_device_id__d008,test_acc_device_id__d009,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_device_id__d004,test_acc_lng_device_id__d005,test_acc_lng_device_id__d006,test_acc_lng_device_id__d008,test_acc_lng_device_id__d009,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_device_id__d004,test_n_device_id__d005,test_n_device_id__d006,test_n_device_id__d008,test_n_device_id__d009,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_device_id__d004,train_acc_device_id__d005,train_acc_device_id__d006,train_acc_device_id__d007,train_acc_device_id__d008,train_acc_device_id__d009,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_device_id__d004,train_acc_lng_device_id__d005,train_acc_lng_device_id__d006,train_acc_lng_device_id__d007,train_acc_lng_device_id__d008,train_acc_lng_device_id__d009,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_device_id__d004,train_n_device_id__d005,train_n_device_id__d006,train_n_device_id__d007,train_n_device_id__d008,train_n_device_id__d009,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.01282051282051282,0.01279317697228145,0.01279317697228145,0.01279317697228145,0.011764705882352941,0.015384615384615385,0.011764705882352941,0.0,0.02127659574468085,0.04006968641114982,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.013432835820895522,0.012455516014234875,0.011935208866155157,0.007194244604316547,0.029411764705882353,0.016358463726884778,0.0,4.629207955554975,1794,469,469,469,170,65,85,20,47,574,282,382,200,356,670,1124,1173,417,204,1406,388,0.014718301363252504,0.015283842794759825,0.015283842794759825,0.015283842794759825,0.011824324324324325,0.011204481792717087,0.01276595744680851,0.015384615384615385,0.022222222222222223,0.008,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0148014440433213,0.014676571842725132,0.014008620689655173,0.014461538461538461,0.01733232856066315,0.019389701207883026,0.0,4.616119362675449,8289,2290,2290,2290,592,357,235,65,45,125,3050,978,1430,1089,1742,2770,5519,3712,3250,1327,6292,1997
2,0.01282051282051282,0.01279317697228145,0.01279317697228145,0.01279317697228145,0.011764705882352941,0.015384615384615385,0.011764705882352941,0.0,0.02127659574468085,0.04006968641114982,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.013432835820895522,0.012455516014234875,0.011935208866155157,0.007194244604316547,0.029411764705882353,0.016358463726884778,0.0,4.623869114496237,1794,469,469,469,170,65,85,20,47,574,282,382,200,356,670,1124,1173,417,204,1406,388,0.014718301363252504,0.015283842794759825,0.015283842794759825,0.015283842794759825,0.011824324324324325,0.011204481792717087,0.01276595744680851,0.015384615384615385,0.022222222222222223,0.008,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0148014440433213,0.014676571842725132,0.014008620689655173,0.014461538461538461,0.01733232856066315,0.019389701207883026,0.0,4.605792385804983,8289,2290,2290,2290,592,357,235,65,45,125,3050,978,1430,1089,1742,2770,5519,3712,3250,1327,6292,1997
3,0.01282051282051282,0.01279317697228145,0.01279317697228145,0.01279317697228145,0.011764705882352941,0.015384615384615385,0.011764705882352941,0.0,0.02127659574468085,0.04006968641114982,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.013432835820895522,0.012455516014234875,0.011935208866155157,0.007194244604316547,0.029411764705882353,0.016358463726884778,0.0,4.622929023393952,1794,469,469,469,170,65,85,20,47,574,282,382,200,356,670,1124,1173,417,204,1406,388,0.01532151043551695,0.016593886462882096,0.015283842794759825,0.015283842794759825,0.013513513513513514,0.011204481792717087,0.01702127659574468,0.015384615384615385,0.022222222222222223,0.008,0.04163934426229508,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01552346570397112,0.015220148577640877,0.014547413793103448,0.015076923076923076,0.01808590806330068,0.020184361093452,0.0,4.608356595024986,8289,2290,2290,2290,592,357,235,65,45,125,3050,978,1430,1089,1742,2770,5519,3712,3250,1327,6292,1997
4,0.00947603121516165,0.010660980810234541,0.010660980810234541,0.010660980810234541,0.0058823529411764705,0.0,0.011764705882352941,0.0,0.0,0.003484320557491289,0.05319148936170213,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.004477611940298508,0.012455516014234875,0.00937766410912191,0.007194244604316547,0.014705882352941176,0.01209103840682788,0.0,4.636870555388621,1794,469,469,469,170,65,85,20,47,574,282,382,200,356,670,1124,1173,417,204,1406,388,0.006997225238267584,0.008733624454148471,0.007423580786026201,0.0069868995633187774,0.005067567567567568,0.0028011204481792717,0.00425531914893617,0.0,0.0,0.0,0.002622950819672131,0.049079754601226995,0.0,0.0,0.001148105625717566,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.007581227436823105,0.006704113063960863,0.004849137931034483,0.010153846153846154,0.0052750565184626974,0.009218054672600126,0.0,4.631532304349373,8289,2290,2290,2290,592,357,235,65,45,125,3050,978,1430,1089,1742,2770,5519,3712,3250,1327,6292,1997
5,0.010590858416945374,0.01279317697228145,0.01279317697228145,0.01279317697228145,0.0058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05337078651685393,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.008955223880597015,0.011565836298932384,0.013640238704177323,0.007194244604316547,0.0,0.013513513513513514,0.0,5.495366363355282,1794,469,469,469,170,65,85,20,47,574,282,382,200,356,670,1124,1173,417,204,1406,388,0.011099046929665821,0.010480349344978166,0.010480349344978166,0.010480349344978166,0.013513513513513514,0.014005602240896359,0.01276595744680851,0.015384615384615385,0.022222222222222223,0.016,0.0,0.0,0.0,0.0,0.05281285878300804,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01227436823104693,0.010509150208371081,0.010775862068965518,0.009846153846153846,0.015071590052750565,0.01144310235219326,0.010015022533800702,5.463833367440565,8289,2290,2290,2290,592,357,235,65,45,125,3050,978,1430,1089,1742,2770,5519,3712,3250,1327,6292,1997
6,0.010590858416945374,0.01279317697228145,0.01279317697228145,0.01279317697228145,0.0058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05337078651685393,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.008955223880597015,0.011565836298932384,0.013640238704177323,0.007194244604316547,0.0,0.013513513513513514,0.0,5.456574677092043,1794,469,469,469,170,65,85,20,47,574,282,382,200,356,670,1124,1173,417,204,1406,388,0.011822897816383158,0.011790393013100437,0.010917030567685589,0.010917030567685589,0.015202702702702704,0.014005602240896359,0.01276595744680851,0.015384615384615385,0.022222222222222223,0.016,0.0019672131147540984,0.0,0.0,0.0,0.05281285878300804,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01227436823104693,0.011596303678202573,0.011314655172413793,0.009846153846153846,0.01808590806330068,0.012396694214876033,0.010015022533800702,5.335772445886727,8289,2290,2290,2290,592,357,235,65,45,125,3050,978,1430,1089,1742,2770,5519,3712,3250,1327,6292,1997
7,0.010590858416945374,0.01279317697228145,0.01279317697228145,0.01279317697228145,0.0058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05337078651685393,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.008955223880597015,0.011565836298932384,0.013640238704177323,0.007194244604316547,0.0,0.013513513513513514,0.0,6.361678753941089,1794,469,469,469,170,65,85,20,47,574,282,382,200,356,670,1124,1173,417,204,1406,388,0.011099046929665821,0.010480349344978166,0.010480349344978166,0.010480349344978166,0.013513513513513514,0.014005602240896359,0.01276595744680851,0.015384615384615385,0.022222222222222223,0.016,0.0,0.0,0.0,0.0,0.05281285878300804,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01227436823104693,0.010509150208371081,0.010775862068965518,0.009846153846153846,0.015071590052750565,0.01144310235219326,0.010015022533800702,6.16926676137756,8289,2290,2290,2290,592,357,235,65,45,125,3050,978,1430,1089,1742,2770,5519,3712,3250,1327,6292,1997
8,0.010590858416945374,0.01279317697228145,0.01279317697228145,0.01279317697228145,0.0058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05337078651685393,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.008955223880597015,0.011565836298932384,0.013640238704177323,0.007194244604316547,0.0,0.013513513513513514,0.0,6.200199259031843,1794,469,469,469,170,65,85,20,47,574,282,382,200,356,670,1124,1173,417,204,1406,388,0.011099046929665821,0.010480349344978166,0.010480349344978166,0.010480349344978166,0.013513513513513514,0.014005602240896359,0.01276595744680851,0.015384615384615385,0.022222222222222223,0.016,0.0,0.0,0.0,0.0,0.05281285878300804,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01227436823104693,0.010509150208371081,0.010775862068965518,0.009846153846153846,0.015071590052750565,0.01144310235219326,0.010015022533800702,5.968930130658384,8289,2290,2290,2290,592,357,235,65,45,125,3050,978,1430,1089,1742,2770,5519,3712,3250,1327,6292,1997
9,0.010590858416945374,0.01279317697228145,0.01279317697228145,0.01279317697228145,0.0058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05337078651685393,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.008955223880597015,0.011565836298932384,0.013640238704177323,0.007194244604316547,0.0,0.013513513513513514,0.0,6.463692995749721,1794,469,469,469,170,65,85,20,47,574,282,382,200,356,670,1124,1173,417,204,1406,388,0.011099046929665821,0.010480349344978166,0.010480349344978166,0.010480349344978166,0.013513513513513514,0.014005602240896359,0.01276595744680851,0.015384615384615385,0.022222222222222223,0.016,0.0,0.0,0.0,0.0,0.05281285878300804,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01227436823104693,0.010509150208371081,0.010775862068965518,0.009846153846153846,0.015071590052750565,0.01144310235219326,0.010015022533800702,6.175941668858012,8289,2290,2290,2290,592,357,235,65,45,125,3050,978,1430,1089,1742,2770,5519,3712,3250,1327,6292,1997
10,0.010590858416945374,0.01279317697228145,0.01279317697228145,0.01279317697228145,0.0058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05337078651685393,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.008955223880597015,0.011565836298932384,0.013640238704177323,0.007194244604316547,0.0,0.013513513513513514,0.0,6.68289657473697,1794,469,469,469,170,65,85,20,47,574,282,382,200,356,670,1124,1173,417,204,1406,388,0.011219688744118711,0.010480349344978166,0.010480349344978166,0.010480349344978166,0.013513513513513514,0.014005602240896359,0.01276595744680851,0.015384615384615385,0.022222222222222223,0.024,0.0,0.0,0.0,0.0,0.053386911595866816,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01227436823104693,0.010690342453342997,0.011045258620689655,0.009846153846153846,0.015071590052750565,0.011602034329307056,0.010015022533800702,6.373393300503208,8289,2290,2290,2290,592,357,235,65,45,125,3050,978,1430,1089,1742,2770,5519,3712,3250,1327,6292,1997
