epoch,test_acc,test_acc_channel_music,test_acc_channel_noise,test_acc_channel_telephone,test_acc_gender_female,test_acc_gender_male,test_acc_language_maninka,test_acc_language_pular,test_acc_language_susu,test_acc_speaker_count_multiple,test_acc_speaker_count_single,test_acc_utterance_multilingual,test_acc_utterance_verbal_nod,test_loss,test_n,test_n_channel_music,test_n_channel_noise,test_n_channel_telephone,test_n_gender_female,test_n_gender_male,test_n_language_maninka,test_n_language_pular,test_n_language_susu,test_n_speaker_count_multiple,test_n_speaker_count_single,test_n_utterance_multilingual,test_n_utterance_verbal_nod,train_acc,train_acc_channel_music,train_acc_channel_noise,train_acc_channel_telephone,train_acc_gender_female,train_acc_gender_male,train_acc_language_maninka,train_acc_language_pular,train_acc_language_susu,train_acc_speaker_count_multiple,train_acc_speaker_count_single,train_acc_utterance_multilingual,train_acc_utterance_verbal_nod,train_loss,train_n,train_n_channel_music,train_n_channel_noise,train_n_channel_telephone,train_n_gender_female,train_n_gender_male,train_n_language_maninka,train_n_language_pular,train_n_language_susu,train_n_speaker_count_multiple,train_n_speaker_count_single,train_n_utterance_multilingual,train_n_utterance_verbal_nod
1,0.48484848484848486,0.5,0.6666666666666666,0.6666666666666666,0.25,0.46875,0.0,0.9333333333333333,0.2,0.47368421052631576,0.46153846153846156,0.5,0.55,1.0976266860961914,33,10,6,9,4,32,8,15,10,19,13,8,20,0.3333333333333333,0.2857142857142857,0.4,0.3333333333333333,0.36363636363636365,0.32653061224489793,0.1,0.6923076923076923,0.3333333333333333,0.38461538461538464,0.16666666666666666,0.3076923076923077,0.42857142857142855,1.10044527053833,51,14,15,18,11,49,20,13,18,39,12,13,28
2,0.15151515151515152,0.3,0.0,0.2222222222222222,0.25,0.15625,0.375,0.0,0.2,0.21052631578947367,0.07692307692307693,0.0,0.2,1.099654197692871,33,10,6,9,4,32,8,15,10,19,13,8,20,0.45098039215686275,0.5,0.3333333333333333,0.5,0.6363636363636364,0.4489795918367347,0.65,0.23076923076923078,0.3888888888888889,0.48717948717948717,0.3333333333333333,0.38461538461538464,0.39285714285714285,1.0937527418136597,51,14,15,18,11,49,20,13,18,39,12,13,28
3,0.18181818181818182,0.3,0.0,0.2222222222222222,0.25,0.1875,0.5,0.0,0.2,0.2631578947368421,0.07692307692307693,0.125,0.25,1.1016594171524048,33,10,6,9,4,32,8,15,10,19,13,8,20,0.29411764705882354,0.42857142857142855,0.4666666666666667,0.3333333333333333,0.2727272727272727,0.30612244897959184,0.45,0.23076923076923078,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3076923076923077,0.21428571428571427,1.09926438331604,51,14,15,18,11,49,20,13,18,39,12,13,28
4,0.24242424242424243,0.5,0.0,0.3333333333333333,0.75,0.25,0.75,0.0,0.2,0.3684210526315789,0.07692307692307693,0.125,0.35,1.1036419868469238,33,10,6,9,4,32,8,15,10,19,13,8,20,0.37254901960784315,0.35714285714285715,0.3333333333333333,0.5,0.5454545454545454,0.3673469387755102,0.6,0.0,0.3888888888888889,0.38461538461538464,0.3333333333333333,0.3076923076923077,0.35714285714285715,1.095398187637329,51,14,15,18,11,49,20,13,18,39,12,13,28
5,0.2727272727272727,0.5,0.16666666666666666,0.4444444444444444,0.75,0.28125,1.0,0.0,0.1,0.3684210526315789,0.15384615384615385,0.125,0.35,1.1056700944900513,33,10,6,9,4,32,8,15,10,19,13,8,20,0.45098039215686275,0.6428571428571429,0.5333333333333333,0.5555555555555556,0.36363636363636365,0.46938775510204084,0.7,0.07692307692307693,0.4444444444444444,0.48717948717948717,0.3333333333333333,0.38461538461538464,0.42857142857142855,1.0948563814163208,51,14,15,18,11,49,20,13,18,39,12,13,28
6,0.24242424242424243,0.4,0.16666666666666666,0.3333333333333333,0.75,0.25,1.0,0.0,0.0,0.3157894736842105,0.15384615384615385,0.125,0.3,1.1076773405075073,33,10,6,9,4,32,8,15,10,19,13,8,20,0.43137254901960786,0.42857142857142855,0.3333333333333333,0.4444444444444444,0.45454545454545453,0.4489795918367347,0.85,0.0,0.2777777777777778,0.41025641025641024,0.5,0.38461538461538464,0.42857142857142855,1.0925050973892212,51,14,15,18,11,49,20,13,18,39,12,13,28
7,0.24242424242424243,0.4,0.16666666666666666,0.3333333333333333,0.75,0.25,1.0,0.0,0.0,0.3157894736842105,0.15384615384615385,0.125,0.3,1.1096550226211548,33,10,6,9,4,32,8,15,10,19,13,8,20,0.39215686274509803,0.42857142857142855,0.4666666666666667,0.5,0.45454545454545453,0.40816326530612246,0.65,0.0,0.3888888888888889,0.358974358974359,0.5,0.46153846153846156,0.32142857142857145,1.0916235446929932,51,14,15,18,11,49,20,13,18,39,12,13,28
8,0.24242424242424243,0.4,0.16666666666666666,0.3333333333333333,0.75,0.25,1.0,0.0,0.0,0.3157894736842105,0.15384615384615385,0.125,0.3,1.1116384267807007,33,10,6,9,4,32,8,15,10,19,13,8,20,0.35294117647058826,0.35714285714285715,0.26666666666666666,0.4444444444444444,0.2727272727272727,0.3673469387755102,0.75,0.0,0.16666666666666666,0.38461538461538464,0.25,0.38461538461538464,0.39285714285714285,1.0921708345413208,51,14,15,18,11,49,20,13,18,39,12,13,28
9,0.24242424242424243,0.4,0.16666666666666666,0.3333333333333333,0.75,0.25,1.0,0.0,0.0,0.3157894736842105,0.15384615384615385,0.125,0.3,1.1136064529418945,33,10,6,9,4,32,8,15,10,19,13,8,20,0.35294117647058826,0.6428571428571429,0.26666666666666666,0.3333333333333333,0.36363636363636365,0.3673469387755102,0.6,0.0,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.23076923076923078,0.2857142857142857,1.092265009880066,51,14,15,18,11,49,20,13,18,39,12,13,28
10,0.24242424242424243,0.4,0.16666666666666666,0.3333333333333333,0.75,0.25,1.0,0.0,0.0,0.3157894736842105,0.15384615384615385,0.125,0.3,1.1155357360839844,33,10,6,9,4,32,8,15,10,19,13,8,20,0.37254901960784315,0.35714285714285715,0.2,0.3888888888888889,0.45454545454545453,0.3877551020408163,0.85,0.0,0.1111111111111111,0.41025641025641024,0.25,0.46153846153846156,0.32142857142857145,1.0909686088562012,51,14,15,18,11,49,20,13,18,39,12,13,28
