epoch,test_acc,test_acc_channel_music,test_acc_channel_noise,test_acc_channel_telephone,test_acc_gender_female,test_acc_gender_male,test_acc_language_maninka,test_acc_language_pular,test_acc_language_susu,test_acc_speaker_count_multiple,test_acc_speaker_count_single,test_acc_utterance_multilingual,test_acc_utterance_verbal_nod,test_loss,test_n,test_n_channel_music,test_n_channel_noise,test_n_channel_telephone,test_n_gender_female,test_n_gender_male,test_n_language_maninka,test_n_language_pular,test_n_language_susu,test_n_speaker_count_multiple,test_n_speaker_count_single,test_n_utterance_multilingual,test_n_utterance_verbal_nod,train_acc,train_acc_channel_music,train_acc_channel_noise,train_acc_channel_telephone,train_acc_gender_female,train_acc_gender_male,train_acc_language_maninka,train_acc_language_pular,train_acc_language_susu,train_acc_speaker_count_multiple,train_acc_speaker_count_single,train_acc_utterance_multilingual,train_acc_utterance_verbal_nod,train_loss,train_n,train_n_channel_music,train_n_channel_noise,train_n_channel_telephone,train_n_gender_female,train_n_gender_male,train_n_language_maninka,train_n_language_pular,train_n_language_susu,train_n_speaker_count_multiple,train_n_speaker_count_single,train_n_utterance_multilingual,train_n_utterance_verbal_nod
1,0.30303030303030304,0.4166666666666667,0.25,0.18181818181818182,0.5,0.28125,0.0,0.0,0.9090909090909091,0.34782608695652173,0.2,0.0,0.21428571428571427,1.0991616249084473,33,12,8,11,6,32,10,12,11,23,10,6,14,0.3333333333333333,0.4166666666666667,0.5384615384615384,0.4375,0.3333333333333333,0.3469387755102041,0.0,0.0,1.0,0.3142857142857143,0.4,0.26666666666666666,0.2647058823529412,1.1002391576766968,51,12,13,16,9,49,18,16,17,35,15,15,34
2,0.36363636363636365,0.4166666666666667,0.25,0.18181818181818182,0.3333333333333333,0.375,0.0,0.4166666666666667,0.6363636363636364,0.34782608695652173,0.4,0.3333333333333333,0.35714285714285715,1.0989468097686768,33,12,8,11,6,32,10,12,11,23,10,6,14,0.4117647058823529,0.4166666666666667,0.6153846153846154,0.4375,0.3333333333333333,0.42857142857142855,0.0,0.25,1.0,0.4,0.4666666666666667,0.4,0.38235294117647056,1.0984824895858765,51,12,13,16,9,49,18,16,17,35,15,15,34
3,0.3333333333333333,0.3333333333333333,0.25,0.18181818181818182,0.16666666666666666,0.34375,0.0,0.4166666666666667,0.5454545454545454,0.30434782608695654,0.4,0.3333333333333333,0.35714285714285715,1.098755955696106,33,12,8,11,6,32,10,12,11,23,10,6,14,0.49019607843137253,0.4166666666666667,0.6153846153846154,0.4375,0.3333333333333333,0.5102040816326531,0.0,0.5625,0.9411764705882353,0.42857142857142855,0.6666666666666666,0.4666666666666667,0.4411764705882353,1.096795916557312,51,12,13,16,9,49,18,16,17,35,15,15,34
4,0.36363636363636365,0.25,0.125,0.36363636363636365,0.16666666666666666,0.375,0.4,0.4166666666666667,0.2727272727272727,0.30434782608695654,0.5,0.3333333333333333,0.42857142857142855,1.0985828638076782,33,12,8,11,6,32,10,12,11,23,10,6,14,0.47058823529411764,0.3333333333333333,0.6153846153846154,0.4375,0.3333333333333333,0.4897959183673469,0.05555555555555555,0.625,0.7647058823529411,0.42857142857142855,0.6,0.4,0.4411764705882353,1.0951712131500244,51,12,13,16,9,49,18,16,17,35,15,15,34
5,0.42424242424242425,0.4166666666666667,0.125,0.5454545454545454,0.3333333333333333,0.4375,0.9,0.25,0.18181818181818182,0.43478260869565216,0.4,0.3333333333333333,0.5,1.0984172821044922,33,12,8,11,6,32,10,12,11,23,10,6,14,0.5882352941176471,0.4166666666666667,0.6153846153846154,0.5,0.5555555555555556,0.6122448979591837,0.4444444444444444,0.6875,0.6470588235294118,0.5428571428571428,0.7333333333333333,0.6,0.5882352941176471,1.0936007499694824,51,12,13,16,9,49,18,16,17,35,15,15,34
6,0.3333333333333333,0.4166666666666667,0.125,0.45454545454545453,0.3333333333333333,0.34375,0.9,0.08333333333333333,0.09090909090909091,0.34782608695652173,0.3,0.3333333333333333,0.35714285714285715,1.098249077796936,33,12,8,11,6,32,10,12,11,23,10,6,14,0.5490196078431373,0.5833333333333334,0.46153846153846156,0.5,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.5,0.47058823529411764,0.5142857142857142,0.6666666666666666,0.4,0.5588235294117647,1.0920755863189697,51,12,13,16,9,49,18,16,17,35,15,15,34
7,0.2727272727272727,0.3333333333333333,0.125,0.36363636363636365,0.3333333333333333,0.28125,0.9,0.0,0.0,0.2608695652173913,0.3,0.16666666666666666,0.2857142857142857,1.0980690717697144,33,12,8,11,6,32,10,12,11,23,10,6,14,0.49019607843137253,0.6666666666666666,0.38461538461538464,0.5,0.6666666666666666,0.5102040816326531,0.9444444444444444,0.25,0.23529411764705882,0.4857142857142857,0.5333333333333333,0.4,0.5,1.0905876159667969,51,12,13,16,9,49,18,16,17,35,15,15,34
8,0.30303030303030304,0.3333333333333333,0.25,0.36363636363636365,0.3333333333333333,0.3125,1.0,0.0,0.0,0.30434782608695654,0.3,0.3333333333333333,0.2857142857142857,1.0978680849075317,33,12,8,11,6,32,10,12,11,23,10,6,14,0.39215686274509803,0.5,0.15384615384615385,0.375,0.5555555555555556,0.40816326530612246,1.0,0.125,0.0,0.4,0.4,0.4,0.38235294117647056,1.089129090309143,51,12,13,16,9,49,18,16,17,35,15,15,34
9,0.30303030303030304,0.3333333333333333,0.25,0.36363636363636365,0.3333333333333333,0.3125,1.0,0.0,0.0,0.30434782608695654,0.3,0.3333333333333333,0.2857142857142857,1.097640037536621,33,12,8,11,6,32,10,12,11,23,10,6,14,0.37254901960784315,0.5,0.15384615384615385,0.375,0.5555555555555556,0.3877551020408163,1.0,0.0625,0.0,0.4,0.3333333333333333,0.3333333333333333,0.35294117647058826,1.0876926183700562,51,12,13,16,9,49,18,16,17,35,15,15,34
10,0.30303030303030304,0.3333333333333333,0.25,0.36363636363636365,0.3333333333333333,0.3125,1.0,0.0,0.0,0.30434782608695654,0.3,0.3333333333333333,0.2857142857142857,1.0973798036575317,33,12,8,11,6,32,10,12,11,23,10,6,14,0.35294117647058826,0.5,0.15384615384615385,0.375,0.5555555555555556,0.3673469387755102,1.0,0.0,0.0,0.4,0.26666666666666666,0.3333333333333333,0.35294117647058826,1.08627188205719,51,12,13,16,9,49,18,16,17,35,15,15,34
