epoch,test_acc,test_acc_channel_music,test_acc_channel_noise,test_acc_channel_telephone,test_acc_gender_female,test_acc_gender_male,test_acc_language_maninka,test_acc_language_pular,test_acc_language_susu,test_acc_speaker_count_multiple,test_acc_speaker_count_single,test_acc_utterance_multilingual,test_acc_utterance_verbal_nod,test_loss,test_n,test_n_channel_music,test_n_channel_noise,test_n_channel_telephone,test_n_gender_female,test_n_gender_male,test_n_language_maninka,test_n_language_pular,test_n_language_susu,test_n_speaker_count_multiple,test_n_speaker_count_single,test_n_utterance_multilingual,test_n_utterance_verbal_nod,train_acc,train_acc_channel_music,train_acc_channel_noise,train_acc_channel_telephone,train_acc_gender_female,train_acc_gender_male,train_acc_language_maninka,train_acc_language_pular,train_acc_language_susu,train_acc_speaker_count_multiple,train_acc_speaker_count_single,train_acc_utterance_multilingual,train_acc_utterance_verbal_nod,train_loss,train_n,train_n_channel_music,train_n_channel_noise,train_n_channel_telephone,train_n_gender_female,train_n_gender_male,train_n_language_maninka,train_n_language_pular,train_n_language_susu,train_n_speaker_count_multiple,train_n_speaker_count_single,train_n_utterance_multilingual,train_n_utterance_verbal_nod
1,0.3333333333333333,0.4166666666666667,0.25,0.18181818181818182,0.5,0.3125,0.0,0.0,1.0,0.391304347826087,0.2,0.16666666666666666,0.2857142857142857,1.097714900970459,33,12,8,11,6,32,10,12,11,23,10,6,14,0.3333333333333333,0.4166666666666667,0.5384615384615384,0.4375,0.3333333333333333,0.3469387755102041,0.0,0.0,1.0,0.3142857142857143,0.4,0.26666666666666666,0.2647058823529412,1.0965204238891602,51,12,13,16,9,49,18,16,17,35,15,15,34
2,0.3939393939393939,0.3333333333333333,0.25,0.36363636363636365,0.5,0.375,0.7,0.0,0.5454545454545454,0.4782608695652174,0.2,0.3333333333333333,0.35714285714285715,1.0966393947601318,33,12,8,11,6,32,10,12,11,23,10,6,14,0.35294117647058826,0.5,0.5384615384615384,0.5,0.3333333333333333,0.3673469387755102,0.1111111111111111,0.0,0.9411764705882353,0.34285714285714286,0.4,0.3333333333333333,0.2647058823529412,1.0933499336242676,51,12,13,16,9,49,18,16,17,35,15,15,34
3,0.3333333333333333,0.25,0.375,0.36363636363636365,0.3333333333333333,0.3125,0.8,0.0,0.2727272727272727,0.391304347826087,0.2,0.16666666666666666,0.2857142857142857,1.095574140548706,33,12,8,11,6,32,10,12,11,23,10,6,14,0.45098039215686275,0.5,0.38461538461538464,0.5625,0.6666666666666666,0.4489795918367347,0.6666666666666666,0.3125,0.35294117647058826,0.42857142857142855,0.5333333333333333,0.5333333333333333,0.4117647058823529,1.0905344486236572,51,12,13,16,9,49,18,16,17,35,15,15,34
4,0.3333333333333333,0.3333333333333333,0.375,0.36363636363636365,0.16666666666666666,0.34375,0.9,0.0,0.18181818181818182,0.34782608695652173,0.3,0.3333333333333333,0.2857142857142857,1.0944101810455322,33,12,8,11,6,32,10,12,11,23,10,6,14,0.43137254901960786,0.5,0.23076923076923078,0.4375,0.5555555555555556,0.42857142857142855,0.8333333333333334,0.3125,0.11764705882352941,0.42857142857142855,0.4666666666666667,0.6,0.4411764705882353,1.0879154205322266,51,12,13,16,9,49,18,16,17,35,15,15,34
5,0.36363636363636365,0.4166666666666667,0.375,0.36363636363636365,0.3333333333333333,0.375,1.0,0.0,0.18181818181818182,0.391304347826087,0.3,0.3333333333333333,0.35714285714285715,1.0931082963943481,33,12,8,11,6,32,10,12,11,23,10,6,14,0.39215686274509803,0.5,0.23076923076923078,0.375,0.5555555555555556,0.3877551020408163,0.8333333333333334,0.3125,0.0,0.4,0.4,0.5333333333333333,0.38235294117647056,1.0853735208511353,51,12,13,16,9,49,18,16,17,35,15,15,34
6,0.42424242424242425,0.4166666666666667,0.375,0.36363636363636365,0.3333333333333333,0.4375,1.0,0.16666666666666666,0.18181818181818182,0.4782608695652174,0.3,0.5,0.42857142857142855,1.0916670560836792,33,12,8,11,6,32,10,12,11,23,10,6,14,0.43137254901960786,0.5833333333333334,0.23076923076923078,0.4375,0.6666666666666666,0.42857142857142855,0.8888888888888888,0.375,0.0,0.42857142857142855,0.4666666666666667,0.5333333333333333,0.4117647058823529,1.0828429460525513,51,12,13,16,9,49,18,16,17,35,15,15,34
7,0.42424242424242425,0.4166666666666667,0.375,0.36363636363636365,0.3333333333333333,0.4375,1.0,0.16666666666666666,0.18181818181818182,0.4782608695652174,0.3,0.5,0.42857142857142855,1.0901082754135132,33,12,8,11,6,32,10,12,11,23,10,6,14,0.43137254901960786,0.5833333333333334,0.23076923076923078,0.4375,0.6666666666666666,0.42857142857142855,0.8888888888888888,0.375,0.0,0.42857142857142855,0.4666666666666667,0.5333333333333333,0.4117647058823529,1.0802949666976929,51,12,13,16,9,49,18,16,17,35,15,15,34
8,0.3939393939393939,0.3333333333333333,0.375,0.36363636363636365,0.3333333333333333,0.40625,0.9,0.16666666666666666,0.18181818181818182,0.4782608695652174,0.2,0.3333333333333333,0.42857142857142855,1.0884658098220825,33,12,8,11,6,32,10,12,11,23,10,6,14,0.49019607843137253,0.5833333333333334,0.3076923076923077,0.4375,0.6666666666666666,0.4897959183673469,0.8888888888888888,0.5625,0.0,0.4857142857142857,0.5333333333333333,0.6,0.47058823529411764,1.0777252912521362,51,12,13,16,9,49,18,16,17,35,15,15,34
9,0.3939393939393939,0.3333333333333333,0.375,0.36363636363636365,0.3333333333333333,0.40625,0.9,0.16666666666666666,0.18181818181818182,0.4782608695652174,0.2,0.3333333333333333,0.42857142857142855,1.086777687072754,33,12,8,11,6,32,10,12,11,23,10,6,14,0.49019607843137253,0.5833333333333334,0.3076923076923077,0.4375,0.6666666666666666,0.4897959183673469,0.8333333333333334,0.625,0.0,0.5142857142857142,0.4666666666666667,0.6666666666666666,0.5,1.075141191482544,51,12,13,16,9,49,18,16,17,35,15,15,34
10,0.42424242424242425,0.3333333333333333,0.375,0.36363636363636365,0.3333333333333333,0.4375,0.9,0.25,0.18181818181818182,0.4782608695652174,0.3,0.3333333333333333,0.42857142857142855,1.0850775241851807,33,12,8,11,6,32,10,12,11,23,10,6,14,0.5294117647058824,0.5833333333333334,0.3076923076923077,0.5,0.6666666666666666,0.5102040816326531,0.8333333333333334,0.6875,0.058823529411764705,0.5428571428571428,0.4666666666666667,0.7333333333333333,0.5588235294117647,1.0725548267364502,51,12,13,16,9,49,18,16,17,35,15,15,34
11,0.45454545454545453,0.3333333333333333,0.375,0.36363636363636365,0.3333333333333333,0.46875,0.9,0.3333333333333333,0.18181818181818182,0.4782608695652174,0.4,0.5,0.42857142857142855,1.0833936929702759,33,12,8,11,6,32,10,12,11,23,10,6,14,0.5490196078431373,0.6666666666666666,0.38461538461538464,0.5,0.7777777777777778,0.5306122448979592,0.8333333333333334,0.6875,0.11764705882352941,0.5714285714285714,0.4666666666666667,0.7333333333333333,0.5588235294117647,1.069977879524231,51,12,13,16,9,49,18,16,17,35,15,15,34
12,0.5151515151515151,0.3333333333333333,0.375,0.36363636363636365,0.5,0.5,0.9,0.4166666666666667,0.2727272727272727,0.5217391304347826,0.5,0.6666666666666666,0.42857142857142855,1.0817465782165527,33,12,8,11,6,32,10,12,11,23,10,6,14,0.5882352941176471,0.6666666666666666,0.46153846153846156,0.5625,0.7777777777777778,0.5714285714285714,0.8333333333333334,0.6875,0.23529411764705882,0.5714285714285714,0.6,0.7333333333333333,0.5882352941176471,1.0674186944961548,51,12,13,16,9,49,18,16,17,35,15,15,34
