epoch,test_acc,test_acc_channel_music,test_acc_channel_noise,test_acc_channel_telephone,test_acc_gender_female,test_acc_gender_male,test_acc_language_maninka,test_acc_language_pular,test_acc_language_susu,test_acc_speaker_count_multiple,test_acc_speaker_count_single,test_acc_utterance_multilingual,test_acc_utterance_verbal_nod,test_loss,test_n,test_n_channel_music,test_n_channel_noise,test_n_channel_telephone,test_n_gender_female,test_n_gender_male,test_n_language_maninka,test_n_language_pular,test_n_language_susu,test_n_speaker_count_multiple,test_n_speaker_count_single,test_n_utterance_multilingual,test_n_utterance_verbal_nod,train_acc,train_acc_channel_music,train_acc_channel_noise,train_acc_channel_telephone,train_acc_gender_female,train_acc_gender_male,train_acc_language_maninka,train_acc_language_pular,train_acc_language_susu,train_acc_speaker_count_multiple,train_acc_speaker_count_single,train_acc_utterance_multilingual,train_acc_utterance_verbal_nod,train_loss,train_n,train_n_channel_music,train_n_channel_noise,train_n_channel_telephone,train_n_gender_female,train_n_gender_male,train_n_language_maninka,train_n_language_pular,train_n_language_susu,train_n_speaker_count_multiple,train_n_speaker_count_single,train_n_utterance_multilingual,train_n_utterance_verbal_nod
1,0.3333333333333333,0.4166666666666667,0.125,0.18181818181818182,0.5,0.3125,0.1,0.08333333333333333,0.8181818181818182,0.34782608695652173,0.3,0.16666666666666666,0.21428571428571427,1.096106767654419,33,12,8,11,6,32,10,12,11,23,10,6,14,0.49019607843137253,0.5,0.6153846153846154,0.5625,0.3333333333333333,0.4897959183673469,0.05555555555555555,0.4375,1.0,0.4,0.6666666666666666,0.5333333333333333,0.4411764705882353,1.095401406288147,51,12,13,16,9,49,18,16,17,35,15,15,34
2,0.36363636363636365,0.3333333333333333,0.125,0.2727272727272727,0.6666666666666666,0.34375,0.2,0.16666666666666666,0.7272727272727273,0.391304347826087,0.3,0.16666666666666666,0.2857142857142857,1.0959360599517822,33,12,8,11,6,32,10,12,11,23,10,6,14,0.49019607843137253,0.5,0.6153846153846154,0.5625,0.3333333333333333,0.4897959183673469,0.05555555555555555,0.4375,1.0,0.4,0.6666666666666666,0.5333333333333333,0.4411764705882353,1.0941332578659058,51,12,13,16,9,49,18,16,17,35,15,15,34
3,0.3939393939393939,0.25,0.25,0.36363636363636365,0.5,0.375,0.7,0.16666666666666666,0.36363636363636365,0.43478260869565216,0.3,0.3333333333333333,0.35714285714285715,1.0957764387130737,33,12,8,11,6,32,10,12,11,23,10,6,14,0.5490196078431373,0.6666666666666666,0.6153846153846154,0.625,0.4444444444444444,0.5510204081632653,0.16666666666666666,0.5625,0.9411764705882353,0.4857142857142857,0.6666666666666666,0.6,0.5294117647058824,1.0929005146026611,51,12,13,16,9,49,18,16,17,35,15,15,34
4,0.45454545454545453,0.3333333333333333,0.375,0.45454545454545453,0.3333333333333333,0.46875,1.0,0.25,0.18181818181818182,0.43478260869565216,0.5,0.6666666666666666,0.42857142857142855,1.0956249237060547,33,12,8,11,6,32,10,12,11,23,10,6,14,0.6274509803921569,0.6666666666666666,0.5384615384615384,0.6875,0.5555555555555556,0.6530612244897959,0.5555555555555556,0.5,0.8235294117647058,0.6285714285714286,0.6666666666666666,0.7333333333333333,0.6176470588235294,1.0916999578475952,51,12,13,16,9,49,18,16,17,35,15,15,34
5,0.42424242424242425,0.3333333333333333,0.375,0.36363636363636365,0.3333333333333333,0.4375,1.0,0.25,0.09090909090909091,0.391304347826087,0.5,0.6666666666666666,0.35714285714285715,1.0954781770706177,33,12,8,11,6,32,10,12,11,23,10,6,14,0.5882352941176471,0.5833333333333334,0.23076923076923078,0.5,0.6666666666666666,0.6122448979591837,0.8888888888888888,0.4375,0.4117647058823529,0.5714285714285714,0.6666666666666666,0.8,0.5588235294117647,1.0905296802520752,51,12,13,16,9,49,18,16,17,35,15,15,34
6,0.3939393939393939,0.3333333333333333,0.25,0.36363636363636365,0.3333333333333333,0.40625,1.0,0.25,0.0,0.391304347826087,0.4,0.6666666666666666,0.35714285714285715,1.0953319072723389,33,12,8,11,6,32,10,12,11,23,10,6,14,0.5098039215686274,0.5,0.23076923076923078,0.4375,0.5555555555555556,0.5306122448979592,1.0,0.4375,0.058823529411764705,0.5142857142857142,0.5333333333333333,0.6,0.5294117647058824,1.0893871784210205,51,12,13,16,9,49,18,16,17,35,15,15,34
7,0.36363636363636365,0.3333333333333333,0.25,0.36363636363636365,0.3333333333333333,0.375,1.0,0.16666666666666666,0.0,0.391304347826087,0.3,0.5,0.35714285714285715,1.0951822996139526,33,12,8,11,6,32,10,12,11,23,10,6,14,0.45098039215686275,0.5,0.15384615384615385,0.375,0.5555555555555556,0.46938775510204084,1.0,0.3125,0.0,0.45714285714285713,0.4666666666666667,0.5333333333333333,0.4411764705882353,1.088269591331482,51,12,13,16,9,49,18,16,17,35,15,15,34
8,0.30303030303030304,0.3333333333333333,0.25,0.36363636363636365,0.3333333333333333,0.3125,1.0,0.0,0.0,0.30434782608695654,0.3,0.3333333333333333,0.2857142857142857,1.0950249433517456,33,12,8,11,6,32,10,12,11,23,10,6,14,0.43137254901960786,0.5,0.15384615384615385,0.375,0.5555555555555556,0.4489795918367347,1.0,0.25,0.0,0.42857142857142855,0.4666666666666667,0.4666666666666667,0.4117647058823529,1.0871747732162476,51,12,13,16,9,49,18,16,17,35,15,15,34
9,0.30303030303030304,0.3333333333333333,0.25,0.36363636363636365,0.3333333333333333,0.3125,1.0,0.0,0.0,0.30434782608695654,0.3,0.3333333333333333,0.2857142857142857,1.0948569774627686,33,12,8,11,6,32,10,12,11,23,10,6,14,0.4117647058823529,0.5,0.15384615384615385,0.375,0.5555555555555556,0.42857142857142855,1.0,0.1875,0.0,0.4,0.4666666666666667,0.4,0.38235294117647056,1.0860998630523682,51,12,13,16,9,49,18,16,17,35,15,15,34
10,0.30303030303030304,0.3333333333333333,0.25,0.36363636363636365,0.3333333333333333,0.3125,1.0,0.0,0.0,0.30434782608695654,0.3,0.3333333333333333,0.2857142857142857,1.0946756601333618,33,12,8,11,6,32,10,12,11,23,10,6,14,0.4117647058823529,0.5,0.15384615384615385,0.375,0.5555555555555556,0.42857142857142855,1.0,0.1875,0.0,0.4,0.4666666666666667,0.4,0.38235294117647056,1.085042953491211,51,12,13,16,9,49,18,16,17,35,15,15,34
11,0.30303030303030304,0.3333333333333333,0.25,0.36363636363636365,0.3333333333333333,0.3125,1.0,0.0,0.0,0.30434782608695654,0.3,0.3333333333333333,0.2857142857142857,1.0944794416427612,33,12,8,11,6,32,10,12,11,23,10,6,14,0.39215686274509803,0.5,0.15384615384615385,0.375,0.5555555555555556,0.40816326530612246,1.0,0.125,0.0,0.4,0.4,0.3333333333333333,0.35294117647058826,1.0840020179748535,51,12,13,16,9,49,18,16,17,35,15,15,34
12,0.30303030303030304,0.3333333333333333,0.25,0.36363636363636365,0.3333333333333333,0.3125,1.0,0.0,0.0,0.30434782608695654,0.3,0.3333333333333333,0.2857142857142857,1.0942673683166504,33,12,8,11,6,32,10,12,11,23,10,6,14,0.39215686274509803,0.5,0.15384615384615385,0.375,0.5555555555555556,0.40816326530612246,1.0,0.125,0.0,0.4,0.4,0.3333333333333333,0.35294117647058826,1.0829747915267944,51,12,13,16,9,49,18,16,17,35,15,15,34
