epoch,test_acc,test_acc_channel_music,test_acc_channel_noise,test_acc_channel_telephone,test_acc_gender_female,test_acc_gender_male,test_acc_language_maninka,test_acc_language_pular,test_acc_language_susu,test_acc_speaker_count_multiple,test_acc_speaker_count_single,test_acc_utterance_multilingual,test_acc_utterance_verbal_nod,test_loss,test_n,test_n_channel_music,test_n_channel_noise,test_n_channel_telephone,test_n_gender_female,test_n_gender_male,test_n_language_maninka,test_n_language_pular,test_n_language_susu,test_n_speaker_count_multiple,test_n_speaker_count_single,test_n_utterance_multilingual,test_n_utterance_verbal_nod,train_acc,train_acc_channel_music,train_acc_channel_noise,train_acc_channel_telephone,train_acc_gender_female,train_acc_gender_male,train_acc_language_maninka,train_acc_language_pular,train_acc_language_susu,train_acc_speaker_count_multiple,train_acc_speaker_count_single,train_acc_utterance_multilingual,train_acc_utterance_verbal_nod,train_loss,train_n,train_n_channel_music,train_n_channel_noise,train_n_channel_telephone,train_n_gender_female,train_n_gender_male,train_n_language_maninka,train_n_language_pular,train_n_language_susu,train_n_speaker_count_multiple,train_n_speaker_count_single,train_n_utterance_multilingual,train_n_utterance_verbal_nod
1,0.30303030303030304,0.4166666666666667,0.25,0.18181818181818182,0.5,0.28125,0.0,0.0,0.9090909090909091,0.34782608695652173,0.2,0.0,0.21428571428571427,1.099213719367981,33,12,8,11,6,32,10,12,11,23,10,6,14,0.3333333333333333,0.4166666666666667,0.5384615384615384,0.4375,0.3333333333333333,0.3469387755102041,0.0,0.0,1.0,0.3142857142857143,0.4,0.26666666666666666,0.2647058823529412,1.1002391576766968,51,12,13,16,9,49,18,16,17,35,15,15,34
2,0.36363636363636365,0.4166666666666667,0.25,0.18181818181818182,0.3333333333333333,0.375,0.0,0.3333333333333333,0.7272727272727273,0.34782608695652173,0.4,0.16666666666666666,0.35714285714285715,1.0990406274795532,33,12,8,11,6,32,10,12,11,23,10,6,14,0.4117647058823529,0.4166666666666667,0.6153846153846154,0.4375,0.3333333333333333,0.42857142857142855,0.0,0.25,1.0,0.4,0.4666666666666667,0.4,0.38235294117647056,1.0985596179962158,51,12,13,16,9,49,18,16,17,35,15,15,34
3,0.36363636363636365,0.4166666666666667,0.25,0.18181818181818182,0.3333333333333333,0.375,0.0,0.4166666666666667,0.6363636363636364,0.34782608695652173,0.4,0.3333333333333333,0.35714285714285715,1.0988913774490356,33,12,8,11,6,32,10,12,11,23,10,6,14,0.45098039215686275,0.4166666666666667,0.6153846153846154,0.4375,0.3333333333333333,0.46938775510204084,0.0,0.4375,0.9411764705882353,0.4,0.6,0.4,0.38235294117647056,1.096947193145752,51,12,13,16,9,49,18,16,17,35,15,15,34
4,0.30303030303030304,0.25,0.25,0.2727272727272727,0.16666666666666666,0.3125,0.1,0.4166666666666667,0.36363636363636365,0.2608695652173913,0.4,0.3333333333333333,0.2857142857142857,1.098755121231079,33,12,8,11,6,32,10,12,11,23,10,6,14,0.47058823529411764,0.4166666666666667,0.6153846153846154,0.4375,0.3333333333333333,0.4897959183673469,0.0,0.625,0.8235294117647058,0.42857142857142855,0.6,0.4,0.4411764705882353,1.0953927040100098,51,12,13,16,9,49,18,16,17,35,15,15,34
5,0.5151515151515151,0.5,0.25,0.5454545454545454,0.5,0.53125,0.9,0.4166666666666667,0.2727272727272727,0.43478260869565216,0.7,0.5,0.5714285714285714,1.0986226797103882,33,12,8,11,6,32,10,12,11,23,10,6,14,0.5098039215686274,0.3333333333333333,0.6153846153846154,0.4375,0.3333333333333333,0.5306122448979592,0.1111111111111111,0.6875,0.7647058823529411,0.45714285714285713,0.6666666666666666,0.4,0.47058823529411764,1.09389066696167,51,12,13,16,9,49,18,16,17,35,15,15,34
6,0.3333333333333333,0.4166666666666667,0.125,0.45454545454545453,0.3333333333333333,0.34375,0.9,0.08333333333333333,0.09090909090909091,0.34782608695652173,0.3,0.3333333333333333,0.35714285714285715,1.0984854698181152,33,12,8,11,6,32,10,12,11,23,10,6,14,0.5882352941176471,0.4166666666666667,0.46153846153846156,0.375,0.5555555555555556,0.6122448979591837,0.5555555555555556,0.6875,0.5294117647058824,0.5428571428571428,0.7333333333333333,0.6,0.6176470588235294,1.092432975769043,51,12,13,16,9,49,18,16,17,35,15,15,34
7,0.30303030303030304,0.3333333333333333,0.125,0.36363636363636365,0.3333333333333333,0.3125,0.9,0.08333333333333333,0.0,0.30434782608695654,0.3,0.3333333333333333,0.2857142857142857,1.0983363389968872,33,12,8,11,6,32,10,12,11,23,10,6,14,0.5294117647058824,0.6666666666666666,0.46153846153846156,0.5625,0.6666666666666666,0.5510204081632653,0.8333333333333334,0.4375,0.29411764705882354,0.5142857142857142,0.6,0.4,0.5882352941176471,1.0910128355026245,51,12,13,16,9,49,18,16,17,35,15,15,34
8,0.2727272727272727,0.3333333333333333,0.125,0.36363636363636365,0.3333333333333333,0.28125,0.9,0.0,0.0,0.2608695652173913,0.3,0.16666666666666666,0.2857142857142857,1.098169207572937,33,12,8,11,6,32,10,12,11,23,10,6,14,0.47058823529411764,0.6666666666666666,0.3076923076923077,0.4375,0.6666666666666666,0.4897959183673469,0.9444444444444444,0.25,0.17647058823529413,0.45714285714285713,0.5333333333333333,0.4,0.47058823529411764,1.0896233320236206,51,12,13,16,9,49,18,16,17,35,15,15,34
9,0.30303030303030304,0.3333333333333333,0.25,0.36363636363636365,0.3333333333333333,0.3125,1.0,0.0,0.0,0.30434782608695654,0.3,0.3333333333333333,0.2857142857142857,1.0979784727096558,33,12,8,11,6,32,10,12,11,23,10,6,14,0.4117647058823529,0.5,0.23076923076923078,0.4375,0.5555555555555556,0.42857142857142855,1.0,0.125,0.058823529411764705,0.4,0.4666666666666667,0.4,0.4117647058823529,1.0882583856582642,51,12,13,16,9,49,18,16,17,35,15,15,34
10,0.30303030303030304,0.3333333333333333,0.25,0.36363636363636365,0.3333333333333333,0.3125,1.0,0.0,0.0,0.30434782608695654,0.3,0.3333333333333333,0.2857142857142857,1.0977598428726196,33,12,8,11,6,32,10,12,11,23,10,6,14,0.39215686274509803,0.5,0.15384615384615385,0.375,0.5555555555555556,0.40816326530612246,1.0,0.125,0.0,0.4,0.4,0.4,0.38235294117647056,1.086912751197815,51,12,13,16,9,49,18,16,17,35,15,15,34
11,0.30303030303030304,0.3333333333333333,0.25,0.36363636363636365,0.3333333333333333,0.3125,1.0,0.0,0.0,0.30434782608695654,0.3,0.3333333333333333,0.2857142857142857,1.0975109338760376,33,12,8,11,6,32,10,12,11,23,10,6,14,0.39215686274509803,0.5,0.15384615384615385,0.375,0.5555555555555556,0.40816326530612246,1.0,0.125,0.0,0.4,0.4,0.4,0.38235294117647056,1.0855820178985596,51,12,13,16,9,49,18,16,17,35,15,15,34
