epoch,test_acc,test_acc_channel_music,test_acc_channel_noise,test_acc_channel_telephone,test_acc_gender_female,test_acc_gender_male,test_acc_language_maninka,test_acc_language_pular,test_acc_language_susu,test_acc_speaker_count_multiple,test_acc_speaker_count_single,test_acc_utterance_multilingual,test_acc_utterance_verbal_nod,test_loss,test_n,test_n_channel_music,test_n_channel_noise,test_n_channel_telephone,test_n_gender_female,test_n_gender_male,test_n_language_maninka,test_n_language_pular,test_n_language_susu,test_n_speaker_count_multiple,test_n_speaker_count_single,test_n_utterance_multilingual,test_n_utterance_verbal_nod,train_acc,train_acc_channel_music,train_acc_channel_noise,train_acc_channel_telephone,train_acc_gender_female,train_acc_gender_male,train_acc_language_maninka,train_acc_language_pular,train_acc_language_susu,train_acc_speaker_count_multiple,train_acc_speaker_count_single,train_acc_utterance_multilingual,train_acc_utterance_verbal_nod,train_loss,train_n,train_n_channel_music,train_n_channel_noise,train_n_channel_telephone,train_n_gender_female,train_n_gender_male,train_n_language_maninka,train_n_language_pular,train_n_language_susu,train_n_speaker_count_multiple,train_n_speaker_count_single,train_n_utterance_multilingual,train_n_utterance_verbal_nod
1,0.2727272727272727,0.5555555555555556,0.42857142857142855,0.3333333333333333,0.25,0.25806451612903225,0.0,0.35714285714285715,0.5714285714285714,0.2608695652173913,0.3333333333333333,0.0,0.25,1.1021007299423218,33,9,7,9,8,31,12,14,7,23,9,4,20,0.4117647058823529,0.4666666666666667,0.5,0.3888888888888889,0.5714285714285714,0.4,0.0,0.0,1.0,0.45714285714285713,0.3125,0.29411764705882354,0.39285714285714285,1.0974894762039185,51,15,14,18,7,50,16,14,21,35,16,17,28
2,0.2727272727272727,0.5555555555555556,0.42857142857142855,0.3333333333333333,0.25,0.25806451612903225,0.0,0.2857142857142857,0.7142857142857143,0.2608695652173913,0.3333333333333333,0.0,0.25,1.1022300720214844,33,9,7,9,8,31,12,14,7,23,9,4,20,0.43137254901960786,0.4666666666666667,0.5,0.3888888888888889,0.5714285714285714,0.42,0.0,0.07142857142857142,1.0,0.45714285714285713,0.375,0.29411764705882354,0.39285714285714285,1.0960601568222046,51,15,14,18,7,50,16,14,21,35,16,17,28
3,0.24242424242424243,0.5555555555555556,0.2857142857142857,0.3333333333333333,0.25,0.22580645161290322,0.0,0.21428571428571427,0.7142857142857143,0.21739130434782608,0.3333333333333333,0.0,0.2,1.10232675075531,33,9,7,9,8,31,12,14,7,23,9,4,20,0.4117647058823529,0.4666666666666667,0.5,0.3888888888888889,0.5714285714285714,0.4,0.0,0.0,1.0,0.45714285714285713,0.3125,0.29411764705882354,0.39285714285714285,1.095213770866394,51,15,14,18,7,50,16,14,21,35,16,17,28
4,0.24242424242424243,0.5555555555555556,0.2857142857142857,0.3333333333333333,0.25,0.22580645161290322,0.0,0.21428571428571427,0.7142857142857143,0.21739130434782608,0.3333333333333333,0.0,0.2,1.102414608001709,33,9,7,9,8,31,12,14,7,23,9,4,20,0.43137254901960786,0.4666666666666667,0.5,0.3888888888888889,0.5714285714285714,0.42,0.0,0.07142857142857142,1.0,0.45714285714285713,0.375,0.29411764705882354,0.39285714285714285,1.094244360923767,51,15,14,18,7,50,16,14,21,35,16,17,28
5,0.24242424242424243,0.5555555555555556,0.2857142857142857,0.3333333333333333,0.25,0.22580645161290322,0.0,0.21428571428571427,0.7142857142857143,0.21739130434782608,0.3333333333333333,0.0,0.2,1.102512001991272,33,9,7,9,8,31,12,14,7,23,9,4,20,0.4117647058823529,0.4666666666666667,0.5,0.3888888888888889,0.5714285714285714,0.4,0.0,0.0,1.0,0.45714285714285713,0.3125,0.29411764705882354,0.39285714285714285,1.0944933891296387,51,15,14,18,7,50,16,14,21,35,16,17,28
6,0.24242424242424243,0.5555555555555556,0.2857142857142857,0.3333333333333333,0.25,0.22580645161290322,0.0,0.21428571428571427,0.7142857142857143,0.21739130434782608,0.3333333333333333,0.0,0.2,1.1027005910873413,33,9,7,9,8,31,12,14,7,23,9,4,20,0.4117647058823529,0.4666666666666667,0.5,0.3888888888888889,0.5714285714285714,0.4,0.0,0.0,1.0,0.45714285714285713,0.3125,0.29411764705882354,0.39285714285714285,1.0936641693115234,51,15,14,18,7,50,16,14,21,35,16,17,28
7,0.21212121212121213,0.4444444444444444,0.14285714285714285,0.2222222222222222,0.25,0.1935483870967742,0.0,0.14285714285714285,0.7142857142857143,0.17391304347826086,0.3333333333333333,0.0,0.15,1.1029229164123535,33,9,7,9,8,31,12,14,7,23,9,4,20,0.4117647058823529,0.4666666666666667,0.5,0.3888888888888889,0.5714285714285714,0.4,0.0,0.0,1.0,0.45714285714285713,0.3125,0.29411764705882354,0.39285714285714285,1.093488335609436,51,15,14,18,7,50,16,14,21,35,16,17,28
8,0.15151515151515152,0.2222222222222222,0.14285714285714285,0.2222222222222222,0.125,0.16129032258064516,0.0,0.0,0.7142857142857143,0.13043478260869565,0.2222222222222222,0.0,0.1,1.1032017469406128,33,9,7,9,8,31,12,14,7,23,9,4,20,0.4117647058823529,0.4666666666666667,0.5,0.3888888888888889,0.5714285714285714,0.4,0.0,0.0,1.0,0.45714285714285713,0.3125,0.29411764705882354,0.39285714285714285,1.0924499034881592,51,15,14,18,7,50,16,14,21,35,16,17,28
9,0.18181818181818182,0.3333333333333333,0.2857142857142857,0.2222222222222222,0.25,0.1935483870967742,0.0,0.0,0.8571428571428571,0.17391304347826086,0.2222222222222222,0.0,0.1,1.1034854650497437,33,9,7,9,8,31,12,14,7,23,9,4,20,0.4117647058823529,0.4666666666666667,0.5,0.3888888888888889,0.5714285714285714,0.4,0.0,0.0,1.0,0.45714285714285713,0.3125,0.29411764705882354,0.39285714285714285,1.0916917324066162,51,15,14,18,7,50,16,14,21,35,16,17,28
10,0.21212121212121213,0.3333333333333333,0.2857142857142857,0.2222222222222222,0.25,0.22580645161290322,0.0,0.0,1.0,0.17391304347826086,0.3333333333333333,0.0,0.1,1.1037770509719849,33,9,7,9,8,31,12,14,7,23,9,4,20,0.4117647058823529,0.4666666666666667,0.5,0.3888888888888889,0.5714285714285714,0.4,0.0,0.0,1.0,0.45714285714285713,0.3125,0.29411764705882354,0.39285714285714285,1.0916858911514282,51,15,14,18,7,50,16,14,21,35,16,17,28
